CID,BDATE,GEN
NASAW00289933,1974-05-06,m
NASAW00289934,1994-12-12,  
NASAW00289935,1988-10-27,Male
NASAW00289936,1997-05-19,F
NASAW00289937,1976-08-06,m
NASAW00289938,1952-01-22,FEMALE
NASAW00289939,1958-07-06,Female
NASAW00289940,1988-06-27,
NASAW00289941,1980-07-13,FEMALE
NASAW00289942,2001-07-06,f 
NASAW00289943,1973-12-20,m
NASAW00289944,1980-07-26,FEMALE
NASAW00289945,1978-10-14,  
NASAW00289946,1965-12-04,M
NASAW00289947,1972-06-03,
NASAW00289948,1972-06-22,f 
NASAW00289949,1982-01-23,Female
NASAW00289950,1953-09-21,
NASAW00289951,1997-08-02,F
NASAW00289952,1995-11-01,f 
NASAW00289953,1963-04-24,
NASAW00289954,1974-03-13,  
NASAW00289955,1982-05-23,f 
NASAW00289956,1989-05-01,FEMALE
NASAW00289957,1978-03-20,Female
NASAW00289958,1965-07-23,M
NASAW00289959,1990-01-27,MALE
AW00289960,1950-02-22,m
NASAW00289961,1970-05-22,m
NASAW00289962,2001-02-17,f 
NASAW00289963,1973-11-26,M
NASAW00289964,1967-09-22,MALE
NASAW00289965,1983-05-25,Male
NASAW00289966,2003-03-23,
NASAW00289967,1983-03-31,F
NASAW00289968,1996-05-03,MALE
NASAW00289969,1998-05-01,
NASAW00289970,1983-03-28,Female
NASAW00289971,1983-11-16,
NASAW00289972,1952-05-06,  
NASAW00289973,1953-05-19,F
NASAW00289974,1966-08-12,
NASAW00289975,1971-10-03,Female
NASAW00289976,2003-01-29,M
NASAW00289977,1972-12-01,Male
NASAW00289978,1996-11-28,
NASAW00289979,1984-12-16,FEMALE
NASAW00289980,1955-11-19,Female
NASAW00289981,1992-06-21,Female
NASAW00289982,1954-05-21,  
NASAW00289983,1966-06-04,m
NASAW00289984,1969-07-10,M
NASAW00289985,1973-02-02,Male
NASAW00289986,1951-01-19,Female
NASAW00289987,1995-04-19,m
NASAW00289988,1992-10-15,f 
NASAW00289989,1983-03-19,Female
NASAW00289990,1995-07-20,MALE
NASAW00289991,1972-08-02,MALE
NASAW00289992,1963-01-13,  
NASAW00289993,2003-02-06,f 
NASAW00289994,1957-04-22,FEMALE
NASAW00289995,1989-12-09,Male
NASAW00289996,1993-10-10,Male
NASAW00289997,1956-12-20,m
NASAW00289998,1980-09-21,
NASAW00289999,1961-07-06,
NASAW00290000,2003-12-18,m
NASAW00290001,1950-06-30,Female
NASAW00290002,1957-02-18,f 
NASAW00290003,1968-12-23,
NASAW00290004,1977-01-19,m
NASAW00290005,1989-03-25,Female
NASAW00290006,1981-01-05,Male
NASAW00290007,2042-05-10,F
NASAW00290008,2056-06-27,
NASAW00290009,1953-05-17,MALE
NASAW00290010,2003-11-21,  
NASAW00290011,1978-04-20,FEMALE
NASAW00290012,1962-11-19,
NASAW00290013,1961-12-11,F
NASAW00290014,1975-11-21,FEMALE
NASAW00290015,1991-01-06,F
NASAW00290016,1995-01-10,F
NASAW00290017,1984-10-28,
NASAW00290018,1987-08-03,MALE
NASAW00290019,1954-01-01,f 
NASAW00290020,1954-10-06,MALE
NASAW00290021,1981-05-07,  
AW00290022,1987-10-15,F
NASAW00290023,2003-02-10,Female
NASAW00290024,1990-12-24,m
NASAW00290025,1959-02-04,
NASAW00290026,1971-07-13,Female
NASAW00290027,1958-01-15,  
NASAW00290028,1971-05-03,MALE
NASAW00290029,1975-10-31,M
NASAW00290030,1951-03-07,m
NASAW00290031,1961-09-15,
AW00290032,1967-11-05,F
NASAW00290033,1972-10-05,  
NASAW00290034,2003-10-11,f 
NASAW00290035,1983-07-19,m
NASAW00290036,1954-05-07,
AW00290037,1988-08-25,
NASAW00290038,1978-02-23,F
NASAW00290039,1963-12-25,M
NASAW00290040,1966-04-01,Female
NASAW00290041,1958-09-21,M
NASAW00290042,1953-01-28,FEMALE
NASAW00290043,1985-04-27,FEMALE
NASAW00290044,1989-09-01,Female
NASAW00290045,1967-02-16,MALE
NASAW00290046,1976-10-02,Female
NASAW00290047,1970-03-26,
NASAW00290048,2000-10-08,m
NASAW00290049,2004-09-30,MALE
NASAW00290050,1964-08-22,  
NASAW00290051,1970-08-09,F
NASAW00290052,1977-07-14,FEMALE
NASAW00290053,1971-03-03,Male
NASAW00290054,1990-06-04,
NASAW00290055,1995-03-26,m
AW00290056,1954-12-08,M
NASAW00290057,1953-07-21,m
NASAW00290058,1982-08-31,MALE
NASAW00290059,1966-08-24,  
NASAW00290060,1959-09-14,M
NASAW00290061,1979-05-30,M
AW00290062,1964-05-14,
NASAW00290063,1950-04-22,Female
NASAW00290064,1954-02-13,FEMALE
NASAW00290065,1998-04-29,m
NASAW00290066,1989-05-04,  
NASAW00290067,1976-07-12,MALE
NASAW00290068,1995-09-21,MALE
NASAW00290069,1980-03-18,Female
NASAW00290070,1965-01-21,F
NASAW00290071,1964-04-02,m
NASAW00290072,1974-07-28,Female
NASAW00290073,1977-06-15,f 
NASAW00290074,1988-11-27,FEMALE
NASAW00290075,1986-08-29,
NASAW00290076,1951-12-05,  
NASAW00290077,1964-07-06,Female
NASAW00290078,1961-02-23,m
NASAW00290079,1997-12-05,  
NASAW00290080,1972-04-06,m
NASAW00290081,1962-09-08,F
NASAW00290082,1987-12-02,Male
NASAW00290083,2050-06-24,MALE
NASAW00290084,1964-07-29,M
NASAW00290085,1951-10-30,
NASAW00290086,1986-09-15,FEMALE
NASAW00290087,1950-07-17,f 
NASAW00290088,1974-01-03,F
NASAW00290089,1958-03-09,FEMALE
NASAW00290090,1966-02-18,MALE
NASAW00290091,1953-12-04,M
NASAW00290092,1974-09-10,Male
NASAW00290093,1982-08-02,f 
NASAW00290094,1970-01-17,Female
NASAW00290095,1983-05-25,
NASAW00290096,1952-12-11,Male
NASAW00290097,1957-04-04,m
NASAW00290098,1982-09-02,MALE
NASAW00290099,1966-11-06,M
NASAW00290100,1987-05-03,F
NASAW00290101,2000-04-22,
NASAW00290102,1957-12-01,m
NASAW00290103,1984-09-08,
NASAW00290104,1999-03-11,F
NASAW00290105,1992-09-28,MALE
NASAW00290106,1849-09-24,MALE
NASAW00290107,1968-08-20,F
NASAW00290108,1996-11-19,
NASAW00290109,1971-02-23,Male
NASAW00290110,1958-08-05,f 
NASAW00290111,1977-04-12,Male
NASAW00290112,1957-06-27,  
NASAW00290113,1972-06-17,m
NASAW00290114,1995-03-30,m
NASAW00290115,1963-02-22,MALE
NASAW00290116,1996-04-07,Female
NASAW00290117,1971-06-15,  
AW00290118,1973-11-24,F
NASAW00290119,1990-10-26,m
NASAW00290120,1981-02-20,m
NASAW00290121,2002-02-05,M
NASAW00290122,1968-03-15,  
NASAW00290123,2002-07-31,FEMALE
NASAW00290124,1990-07-28,FEMALE
NASAW00290125,1989-10-20,f 
NASAW00290126,1971-02-13,MALE
NASAW00290127,1988-04-24,MALE
NASAW00290128,1970-06-25,FEMALE
NASAW00290129,1976-12-26,M
AW00290130,1980-04-10,F
NASAW00290131,1978-09-14,MALE
NASAW00290132,1980-09-06,f 
NASAW00290133,1980-06-20,Male
NASAW00290134,1966-07-19,FEMALE
NASAW00290135,1966-07-14,F
NASAW00290136,1989-09-14,f 
NASAW00290137,1982-08-13,
NASAW00290138,2002-05-07,f 
AW00290139,1974-05-14,F
NASAW00290140,1988-05-27,Male
NASAW00290141,1977-10-05,m
NASAW00290142,1999-07-05,MALE
NASAW00290143,1957-07-01,FEMALE
NASAW00290144,1960-12-30,F
NASAW00290145,1975-11-02,  
NASAW00290146,1976-08-12,FEMALE
NASAW00290147,1971-11-01,MALE
NASAW00290148,1962-03-07,Male
NASAW00290149,1996-07-30,M
NASAW00290150,1988-09-24,FEMALE
NASAW00290151,1998-06-20,f 
NASAW00290152,1966-07-11,Female
AW00290153,1973-04-09,f 
NASAW00290154,1991-03-20,Male
NASAW00290155,1987-08-20,
AW00290156,1988-01-04,m
NASAW00290157,1969-02-14,m
NASAW00290158,1998-10-20,M
NASAW00290159,2004-08-04,F
NASAW00290160,1963-11-14,m
NASAW00290161,1957-09-15,Female
NASAW00290162,1957-02-22,m
NASAW00290163,1961-03-05,M
NASAW00290164,1983-01-23,f 
NASAW00290165,1976-08-28,  
NASAW00290166,1952-05-07,f 
NASAW00290167,1966-06-19,MALE
NASAW00290168,1971-02-01,FEMALE
NASAW00290169,1956-12-19,Male
NASAW00290170,2002-05-01,
NASAW00290171,1970-07-13,
NASAW00290172,2003-09-13,m
NASAW00290173,1972-06-21,FEMALE
NASAW00290174,1979-01-08,MALE
AW00290175,1955-11-16,  
NASAW00290176,1988-04-08,MALE
NASAW00290177,1967-03-17,Female
NASAW00290178,1994-10-09,M
NASAW00290179,2004-01-22,f 
NASAW00290180,1994-10-02,F
NASAW00290181,1979-06-16,m
NASAW00290182,1968-11-26,Male
NASAW00290183,1960-09-02,Female
NASAW00290184,1977-12-23,m
NASAW00290185,1968-03-04,FEMALE
NASAW00290186,1995-08-21,  
NASAW00290187,1995-12-16,F
NASAW00290188,1997-11-02,Male
NASAW00290189,1976-04-08,MALE
NASAW00290190,1984-01-18,Female
NASAW00290191,1977-10-11,Male
NASAW00290192,1987-01-15,Male
NASAW00290193,1970-05-17,  
NASAW00290194,1958-07-24,MALE
NASAW00290195,1981-10-02,F
NASAW00290196,1991-06-04,Female
NASAW00290197,1979-12-23,m
NASAW00290198,1983-02-13,Male
NASAW00290199,1982-02-04,Female
AW00290200,1967-03-30,f 
NASAW00290201,1988-06-28,F
NASAW00290202,2002-03-02,m
NASAW00290203,1957-05-31,Male
NASAW00290204,1963-10-15,FEMALE
AW00290205,1990-01-18,M
NASAW00290206,1981-09-15,
AW00290207,2004-03-31,FEMALE
NASAW00290208,1960-01-07,Male
NASAW00290209,1991-03-28,  
NASAW00290210,2003-01-27,m
NASAW00290211,1961-12-18,F
NASAW00290212,1976-06-26,M
NASAW00290213,1987-07-20,  
NASAW00290214,1960-11-29,m
NASAW00290215,1964-10-12,FEMALE
NASAW00290216,1992-11-04,  
NASAW00290217,1957-07-13,FEMALE
NASAW00290218,2003-11-25,Female
NASAW00290219,1984-08-28,FEMALE
NASAW00290220,1978-12-01,FEMALE
NASAW00290221,2003-04-15,f 
NASAW00290222,1971-01-03,Male
NASAW00290223,1975-09-17,MALE
NASAW00290224,2003-11-12,Male
NASAW00290225,1967-11-08,
NASAW00290226,2001-02-20,FEMALE
NASAW00290227,1986-02-26,M
NASAW00290228,1970-05-21,MALE
NASAW00290229,1986-04-17,
NASAW00290230,2002-03-19,f 
NASAW00290231,1958-04-22,MALE
NASAW00290232,1962-10-14,MALE
NASAW00290233,1955-05-27,M
NASAW00290234,2001-06-11,M
NASAW00290235,1978-04-08,m
NASAW00290236,1980-01-17,M
NASAW00290237,1967-07-21,f 
NASAW00290238,1987-09-08,
NASAW00290239,2001-01-29,F
NASAW00290240,1963-01-07,FEMALE
NASAW00290241,1996-04-24,
NASAW00290242,2003-06-26,
NASAW00290243,1977-07-02,MALE
NASAW00290244,2002-09-17,F
NASAW00290245,1986-10-24,
NASAW00290246,1986-04-09,FEMALE
NASAW00290247,1962-06-06,M
NASAW00290248,1952-04-24,
NASAW00290249,1998-08-20,FEMALE
NASAW00290250,1961-07-08,f 
NASAW00290251,1951-05-05,FEMALE
NASAW00290252,1976-12-22,Male
NASAW00290253,1963-03-01,
NASAW00290254,1973-07-27,FEMALE
NASAW00290255,1952-02-16,F
NASAW00290256,2000-09-16,
NASAW00290257,1965-07-22,Male
NASAW00290258,1984-03-06,m
NASAW00290259,1994-02-09,
NASAW00290260,1954-03-17,FEMALE
NASAW00290261,1967-10-04,
NASAW00290262,1970-01-21,f 
NASAW00290263,2002-01-28,m
NASAW00290264,1971-10-31,
NASAW00290265,1969-12-21,FEMALE
NASAW00290266,1962-07-19,
NASAW00290267,1995-09-10,MALE
AW00290268,1954-06-02,MALE
NASAW00290269,1962-05-23,F
NASAW00290270,1977-04-03,
NASAW00290271,1956-12-10,Male
NASAW00290272,2004-02-07,Female
NASAW00290273,1995-10-28,
NASAW00290274,1966-01-10,MALE
NASAW00290275,1988-11-15,m
NASAW00290276,1988-07-30,
NASAW00290277,2002-01-18,Female
NASAW00290278,1956-05-10,MALE
NASAW00290279,1988-02-14,FEMALE
NASAW00290280,1972-07-15,F
NASAW00290281,1974-08-11,MALE
NASAW00290282,1991-07-13,FEMALE
NASAW00290283,1967-06-30,m
NASAW00290284,1988-05-03,MALE
NASAW00290285,1966-08-18,F
NASAW00290286,1953-09-04,Male
NASAW00290287,2004-04-21,F
NASAW00290288,1990-07-05,  
NASAW00290289,1950-01-18,MALE
NASAW00290290,2004-07-03,F
NASAW00290291,1951-02-15,f 
NASAW00290292,1987-01-05,MALE
AW00290293,1998-08-21,
NASAW00290294,1995-12-12,F
NASAW00290295,1980-05-15,M
NASAW00290296,1963-09-13,M
NASAW00290297,1971-06-04,f 
NASAW00290298,1961-03-07,FEMALE
NASAW00290299,1979-09-16,F
NASAW00290300,1988-01-29,M
NASAW00290301,1974-01-11,MALE
NASAW00290302,1961-12-29,MALE
NASAW00290303,1999-11-29,m
NASAW00290304,1877-11-09,MALE
NASAW00290305,1950-06-13,f 
NASAW00290306,1972-11-05,
NASAW00290307,1983-10-27,F
NASAW00290308,1959-05-09,F
NASAW00290309,1974-07-06,
NASAW00290310,1989-05-23,MALE
AW00290311,1991-06-14,F
NASAW00290312,1989-11-17,M
NASAW00290313,1967-04-11,MALE
AW00290314,2003-03-04,Male
NASAW00290315,1991-08-11,f 
NASAW00290316,1968-08-01,f 
AW00290317,1972-02-27,FEMALE
NASAW00290318,1981-10-26,FEMALE
NASAW00290319,1954-05-18,M
AW00290320,1982-01-20,FEMALE
NASAW00290321,1978-06-30,Male
NASAW00290322,1998-07-29,  
AW00290323,1975-10-05,m
NASAW00290324,1979-05-09,F
NASAW00290325,1962-09-24,Female
NASAW00290326,1962-09-13,FEMALE
NASAW00290327,1982-08-31,
NASAW00290328,1961-08-04,m
NASAW00290329,1977-07-09,M
NASAW00290330,1964-11-22,MALE
NASAW00290331,2002-06-26,f 
NASAW00290332,1976-06-27,F
NASAW00290333,1954-01-12,  
NASAW00290334,1960-08-24,Female
AW00290335,1951-07-09,M
NASAW00290336,1959-06-09,  
NASAW00290337,1974-03-20,Female
NASAW00290338,1994-12-06,
NASAW00290339,1950-01-13,f 
NASAW00290340,1953-01-19,
NASAW00290341,1972-04-03,Female
NASAW00290342,1979-10-27,FEMALE
NASAW00290343,1992-10-05,MALE
NASAW00290344,1997-05-27,  
NASAW00290345,1995-08-07,m
NASAW00290346,2002-01-10,M
NASAW00290347,1953-08-28,F
NASAW00290348,2001-01-10,MALE
NASAW00290349,1980-03-24,F
NASAW00290350,1960-01-27,Female
NASAW00290351,1974-02-11,f 
NASAW00290352,1969-09-29,  
NASAW00290353,1991-11-05,FEMALE
NASAW00290354,1991-02-21,MALE
NASAW00290355,2002-10-15,F
NASAW00290356,1963-04-19,Male
AW00290357,1950-02-18,Male
NASAW00290358,1967-02-12,Female
NASAW00290359,2000-03-15,m
NASAW00290360,1979-08-11,  
NASAW00290361,1979-07-18,m
NASAW00290362,1845-06-11,F
NASAW00290363,1972-06-29,m
NASAW00290364,1968-05-16,FEMALE
NASAW00290365,1962-11-01,
NASAW00290366,1976-01-31,Female
NASAW00290367,1968-10-17,m
NASAW00290368,1999-12-11,  
NASAW00290369,2001-12-30,Male
NASAW00290370,1959-02-27,FEMALE
NASAW00290371,1989-07-13,
AW00290372,1967-11-11,MALE
NASAW00290373,1981-11-04,M
NASAW00290374,1959-05-24,
NASAW00290375,1966-11-20,f 
NASAW00290376,2003-12-10,m
NASAW00290377,1952-10-01,M
NASAW00290378,1995-09-06,f 
NASAW00290379,1961-08-28,F
NASAW00290380,1978-04-27,M
NASAW00290381,1987-03-27,F
NASAW00290382,1964-03-04,MALE
NASAW00290383,1992-03-19,
NASAW00290384,1980-08-15,m
NASAW00290385,1967-04-11,
NASAW00290386,1964-10-01,f 
NASAW00290387,1961-03-02,m
NASAW00290388,1996-09-05,Female
NASAW00290389,1994-04-05,Male
AW00290390,1989-07-22,MALE
NASAW00290391,1988-07-09,Male
NASAW00290392,2003-02-07,Male
NASAW00290393,1985-01-22,  
NASAW00290394,2002-06-14,M
NASAW00290395,1950-04-24,m
NASAW00290396,1990-08-05,FEMALE
NASAW00290397,1979-06-24,M
NASAW00290398,1970-01-13,M
NASAW00290399,1983-09-27,m
NASAW00290400,1988-01-15,  
NASAW00290401,1998-02-20,M
NASAW00290402,1962-05-21,MALE
NASAW00290403,1993-11-30,Male
NASAW00290404,1987-03-03,  
NASAW00290405,1956-06-04,  
NASAW00290406,1955-06-30,Female
NASAW00290407,1960-11-13,M
AW00290408,1976-08-19,Male
NASAW00290409,1971-01-31,FEMALE
NASAW00290410,1988-04-30,
NASAW00290411,1994-07-12,m
NASAW00290412,1986-06-20,Male
NASAW00290413,1966-06-08,MALE
NASAW00290414,1971-10-24,f 
NASAW00290415,1961-07-13,m
NASAW00290416,1962-10-27,FEMALE
NASAW00290417,1982-08-16,F
NASAW00290418,1965-05-03,FEMALE
NASAW00290419,1955-06-14,
NASAW00290420,1975-05-18,F
NASAW00290421,1967-04-29,m
NASAW00290422,1961-02-26,Male
NASAW00290423,1973-03-17,Female
NASAW00290424,1969-10-29,Male
NASAW00290425,1950-10-09,FEMALE
NASAW00290426,1960-06-21,FEMALE
NASAW00290427,1975-04-25,m
NASAW00290428,1971-07-01,  
NASAW00290429,1979-11-05,M
NASAW00290430,1951-05-01,  
NASAW00290431,1999-01-22,FEMALE
NASAW00290432,1992-02-02,F
NASAW00290433,1955-07-05,  
NASAW00290434,1979-06-11,M
NASAW00290435,1955-08-19,Female
NASAW00290436,1992-01-12,Male
NASAW00290437,1982-04-16,Male
NASAW00290438,1971-05-21,
NASAW00290439,1959-12-24,
NASAW00290440,1978-07-19,Female
NASAW00290441,1973-04-08,  
NASAW00290442,1995-01-16,
AW00290443,1986-06-27,  
NASAW00290444,1997-08-28,m
NASAW00290445,1954-09-02,Female
NASAW00290446,1983-04-24,m
NASAW00290447,2002-06-08,m
NASAW00290448,1990-06-26,
NASAW00290449,1965-08-17,M
NASAW00290450,1989-06-29,M
NASAW00290451,1953-02-03,MALE
NASAW00290452,1994-03-25,Male
NASAW00290453,1975-08-17,FEMALE
NASAW00290454,1998-06-20,F
NASAW00290455,1956-08-03,Male
NASAW00290456,1982-12-14,M
NASAW00290457,1997-04-21,M
NASAW00290458,1976-04-16,m
NASAW00290459,1964-07-08,F
NASAW00290460,1979-06-27,f 
NASAW00290461,1952-07-22,
NASAW00290462,1973-06-09,MALE
NASAW00290463,1993-12-10,f 
NASAW00290464,1964-05-24,m
NASAW00290465,1976-06-25,Female
NASAW00290466,1958-05-03,Female
NASAW00290467,1990-08-13,F
NASAW00290468,2004-05-01,F
NASAW00290469,1991-06-09,F
NASAW00290470,1987-12-30,
NASAW00290471,1989-02-26,
NASAW00290472,1990-04-17,M
NASAW00290473,1984-04-08,
NASAW00290474,1972-06-12,m
NASAW00290475,1953-09-23,MALE
NASAW00290476,1965-09-25,  
NASAW00290477,1957-08-25,Male
NASAW00290478,1981-09-18,m
NASAW00290479,1963-09-23,
NASAW00290480,1979-12-29,f 
NASAW00290481,1980-12-06,f 
NASAW00290482,1958-02-28,F
NASAW00290483,1986-05-25,Female
NASAW00290484,1987-11-09,FEMALE
AW00290485,1967-07-16,Female
NASAW00290486,2004-04-14,f 
NASAW00290487,1959-03-29,F
NASAW00290488,1986-01-23,Male
NASAW00290489,1976-12-31,m
NASAW00290490,1988-07-28,F
NASAW00290491,1968-07-20,FEMALE
NASAW00290492,1982-11-20,F
NASAW00290493,1958-11-09,MALE
NASAW00290494,1959-12-29,M
NASAW00290495,1999-03-09,M
NASAW00290496,1964-01-18,F
NASAW00290497,2001-12-19,
NASAW00290498,1996-06-21,
NASAW00290499,1952-02-01,F
NASAW00290500,1995-10-14,M
AW00290501,1959-12-29,Female
NASAW00290502,1961-11-17,  
AW00290503,1950-07-01,  
AW00290504,1969-10-05,
NASAW00290505,1983-03-08,F
AW00290506,2002-10-05,F
NASAW00290507,1980-10-16,m
NASAW00290508,2000-07-14,FEMALE
NASAW00290509,1997-02-25,FEMALE
NASAW00290510,1951-10-27,f 
NASAW00290511,1985-09-21,F
AW00290512,1988-08-28,  
NASAW00290513,1975-06-10,Male
NASAW00290514,1972-03-25,Male
NASAW00290515,1966-01-25,Female
NASAW00290516,2001-03-02,Female
NASAW00290517,1951-06-26,M
NASAW00290518,2002-09-01,
NASAW00290519,1951-11-28,f 
NASAW00290520,1993-12-09,MALE
NASAW00290521,1994-03-23,F
NASAW00290522,1996-07-26,f 
NASAW00290523,1972-05-27,f 
NASAW00290524,1957-12-29,MALE
NASAW00290525,1991-03-13,Female
NASAW00290526,1999-09-08,f 
NASAW00290527,2003-05-31,M
NASAW00290528,1999-01-05,  
NASAW00290529,1979-07-10,m
NASAW00290530,1953-10-26,F
NASAW00290531,1991-03-11,f 
NASAW00290532,1989-04-19,Female
NASAW00290533,1999-02-18,F
NASAW00290534,1992-08-26,  
NASAW00290535,1973-05-05,MALE
NASAW00290536,1957-10-05,m
NASAW00290537,1954-06-17,MALE
NASAW00290538,1951-10-06,
NASAW00290539,1952-12-11,f 
NASAW00290540,1995-12-09,FEMALE
AW00290541,1987-03-17,M
NASAW00290542,1979-05-04,Female
NASAW00290543,1991-10-26,F
NASAW00290544,1954-01-22,  
NASAW00290545,1957-05-11,FEMALE
NASAW00290546,1984-11-29,m
NASAW00290547,1974-11-10,
AW00290548,1968-06-19,m
NASAW00290549,1954-07-05,M
NASAW00290550,1992-11-16,Male
NASAW00290551,2002-07-04,MALE
NASAW00290552,1951-01-18,f 
NASAW00290553,1957-11-01,MALE
NASAW00290554,1989-12-19,FEMALE
NASAW00290555,1950-12-15,MALE
NASAW00290556,1960-02-06,M
NASAW00290557,1998-10-07,Male
NASAW00290558,1958-10-18,M
NASAW00290559,1950-10-13,m
NASAW00290560,1982-09-24,
NASAW00290561,1984-05-17,f 
NASAW00290562,1959-12-15,M
NASAW00290563,1982-05-15,Male
NASAW00290564,1967-04-25,f 
NASAW00290565,1973-04-24,Male
NASAW00290566,1990-01-28,FEMALE
NASAW00290567,1962-12-31,  
NASAW00290568,1951-08-08,F
NASAW00290569,1997-06-02,m
NASAW00290570,1997-11-07,Male
NASAW00290571,1982-06-25,m
NASAW00290572,1957-08-10,m
NASAW00290573,1997-12-13,Male
NASAW00290574,1989-07-16,Female
NASAW00290575,1969-05-01,
NASAW00290576,1983-08-24,f 
NASAW00290577,2055-02-07,MALE
NASAW00290578,1961-12-06,Female
NASAW00290579,1993-12-07,Female
AW00290580,1965-05-01,
NASAW00290581,1969-10-29,F
NASAW00290582,1991-06-05,  
NASAW00290583,1987-03-21,  
NASAW00290584,1972-10-13,FEMALE
NASAW00290585,2002-04-27,f 
NASAW00290586,1998-08-02,FEMALE
NASAW00290587,1963-09-03,  
NASAW00290588,2001-04-21,MALE
NASAW00290589,1990-02-06,Male
AW00290590,1982-11-17,m
NASAW00290591,1967-09-28,f 
NASAW00290592,2000-12-07,F
NASAW00290593,1985-10-18,Male
NASAW00290594,1955-12-30,MALE
NASAW00290595,1977-10-29,FEMALE
NASAW00290596,1963-02-20,M
NASAW00290597,1978-12-02,F
NASAW00290598,1991-01-21,Female
NASAW00290599,1974-03-15,M
AW00290600,1959-01-13,m
NASAW00290601,2004-06-16,f 
NASAW00290602,1972-05-06,Male
NASAW00290603,1950-04-30,m
NASAW00290604,1971-02-08,M
NASAW00290605,1990-05-17,M
NASAW00290606,1954-11-21,
NASAW00290607,1964-06-03,Female
NASAW00290608,1999-02-02,MALE
NASAW00290609,1989-02-09,m
NASAW00290610,1970-09-01,f 
NASAW00290611,1989-11-21,Male
NASAW00290612,1982-10-15,MALE
NASAW00290613,2003-07-09,
NASAW00290614,1955-01-09,Male
NASAW00290615,1961-10-10,Male
NASAW00290616,1958-03-09,Female
NASAW00290617,1968-04-07,M
NASAW00290618,1955-02-11,M
NASAW00290619,1967-05-26,M
NASAW00290620,1997-09-21,FEMALE
NASAW00290621,1957-03-01,f 
NASAW00290622,2004-03-13,Male
NASAW00290623,1951-02-03,
NASAW00290624,1958-01-03,F
NASAW00290625,1951-12-28,FEMALE
NASAW00290626,1952-01-25,M
NASAW00290627,1981-05-05,Male
NASAW00290628,1956-05-07,F
NASAW00290629,1961-03-09,M
NASAW00290630,1953-10-12,Female
NASAW00290631,1954-08-25,
NASAW00290632,1984-07-21,FEMALE
NASAW00290633,2002-02-13,F
NASAW00290634,1990-07-16,f 
NASAW00290635,1967-02-19,M
NASAW00290636,1970-08-08,MALE
NASAW00290637,1997-11-25,m
NASAW00290638,1990-06-02,Female
NASAW00290639,2002-12-09,  
NASAW00290640,1970-07-04,M
NASAW00290641,1966-06-12,MALE
NASAW00290642,1969-03-19,
NASAW00290643,1987-09-15,MALE
NASAW00290644,1967-10-05,  
NASAW00290645,1961-04-15,m
NASAW00290646,1979-01-13,M
AW00290647,1988-07-21,Male
NASAW00290648,1977-07-10,FEMALE
NASAW00290649,2003-01-01,
NASAW00290650,2004-03-27,M
NASAW00290651,1987-08-08,MALE
NASAW00290652,1990-12-07,F
NASAW00290653,2002-08-30,
NASAW00290654,1964-06-27,F
NASAW00290655,1959-10-14,F
NASAW00290656,2000-02-16,F
NASAW00290657,1996-12-14,F
NASAW00290658,1953-07-21,M
NASAW00290659,1958-03-20,MALE
NASAW00290660,1956-11-21,m
NASAW00290661,1962-07-25,  
NASAW00290662,1958-01-28,Female
NASAW00290663,2000-01-12,MALE
NASAW00290664,1975-04-15,F
AW00290665,1999-06-20,f 
NASAW00290666,1969-03-29,f 
NASAW00290667,2000-08-05,F
NASAW00290668,1954-12-15,
NASAW00290669,1984-05-24,MALE
NASAW00290670,1982-07-04,Male
NASAW00290671,1955-10-31,Female
NASAW00290672,1979-02-13,
NASAW00290673,1971-04-13,
NASAW00290674,1972-01-01,FEMALE
NASAW00290675,1964-10-21,
NASAW00290676,2001-01-25,Male
NASAW00290677,2055-05-16,Female
NASAW00290678,1965-08-10,F
NASAW00290679,1969-02-09,M
NASAW00290680,1990-09-16,f 
NASAW00290681,1996-07-09,  
NASAW00290682,1999-09-23,f 
NASAW00290683,1991-07-10,F
NASAW00290684,1983-04-15,Male
NASAW00290685,1990-06-25,
NASAW00290686,1976-09-08,Female
NASAW00290687,1964-08-17,
NASAW00290688,1962-09-18,f 
NASAW00290689,1992-01-12,M
NASAW00290690,1984-05-12,  
NASAW00290691,1950-01-10,f 
NASAW00290692,1958-08-26,F
NASAW00290693,1975-02-17,MALE
NASAW00290694,1955-03-17,Male
NASAW00290695,1960-12-27,MALE
NASAW00290696,1991-09-18,
NASAW00290697,1999-07-11,m
NASAW00290698,1966-07-02,f 
NASAW00290699,2003-01-31,F
NASAW00290700,2004-04-16,FEMALE
NASAW00290701,2058-04-11,  
AW00290702,1995-03-16,
NASAW00290703,1986-04-24,f 
NASAW00290704,1992-08-24,
NASAW00290705,1984-10-26,Male
NASAW00290706,1973-04-07,Male
AW00290707,1967-12-09,M
NASAW00290708,1972-11-01,
NASAW00290709,1977-11-30,Male
NASAW00290710,2003-05-26,M
NASAW00290711,2000-03-14,Male
NASAW00290712,1992-05-03,FEMALE
NASAW00290713,1988-07-11,  
NASAW00290714,1969-07-23,MALE
NASAW00290715,1993-04-04,F
NASAW00290716,1996-04-22,  
NASAW00290717,1954-09-13,M
NASAW00290718,1970-06-21,f 
NASAW00290719,1975-12-09,F
NASAW00290720,1978-02-28,F
NASAW00290721,1973-02-08,M
NASAW00290722,2002-09-19,
NASAW00290723,1987-12-19,Female
NASAW00290724,1971-05-07,  
NASAW00290725,1970-07-26,  
